source,type,target,value,color
Reservoir Dogs,word,fuck,68,#c28e5e
Reservoir Dogs,word,fucked,6,#c28e5e
Reservoir Dogs,word,fucker,1,#c28e5e
Reservoir Dogs,word,fucking,180,#c28e5e
Reservoir Dogs,word,fucks,2,#c28e5e
Reservoir Dogs,word,fuckup,1,#c28e5e
Reservoir Dogs,word,motherfucker,12,#c28e5e
Pulp Fiction,word,fuck,74,#C2A225
Pulp Fiction,word,fucked,13,#C2A225
Pulp Fiction,word,fucker,37,#C2A225
Pulp Fiction,word,fucking,142,#C2A225
Pulp Fiction,word,motherfucker,33,#C2A225
Kill Bill: Vol. 1,word,fuck,5,#fff11b
Kill Bill: Vol. 1,word,fucked,25,#fff11b
Kill Bill: Vol. 1,word,fucker,9,#fff11b
Kill Bill: Vol. 1,word,fucking,5,#fff11b
Kill Bill: Vol. 1,word,fuckup,9,#fff11b
